Protein_ID,Domains,Functions
WP_400765736.1,AmbC; PKS_I; ABC_transporter; polyketide_synthase_type_I; BafAIV,Ambobactin biosynthesis component C; Type I polyketide synthase activity; Transport of molecules across membrane; Type I polyketide synthesis (modular); Bafilomycin biosynthesis component AIV
WP_400880729.1,putative_transporter; PKS_I; polyketide_synthase; polyketide_synthase; type_1_polyketide_synthase,Molecular transport (predicted); Type I polyketide synthase activity; Catalyzes polyketide synthesis; Type I polyketide synthesis (modular)
WP_402758273.1,polyketide_synthase_AufC; AmbF; polyketide_synthase_AufF; LuxR_family_transcriptional_regulator; PKS_I,Specific polyketide synthesis (AufC variant); Ambobactin biosynthesis component F; Specific polyketide synthesis (AufF variant); Quorum sensing and gene regulation; Type I polyketide synthase activity
WP_402798883.1,AngAI; polyketide_synthase; polyketide_synthase_AufD; PKS_I; AmbB,Angiogenin-related component AI; Catalyzes polyketide synthesis; Specific polyketide synthesis (AufD variant); Type I polyketide synthase activity; Ambobactin biosynthesis component B
WP_403409309.1,type_1_polyketide_synthase; VBS; Amb4; hypothetical_protein; type_1_polyketide_synthase,Type I polyketide synthesis (modular); Versicolorin B synthesis; Ambobactin biosynthesis component 4; Protein of unknown function
WP_404359873.1,type_1_polyketide_synthase; EmrB/QacA_drug_resistance_transporter; PKS_I; PKS_I; glycosyltransferase,Type I polyketide synthesis (modular); Drug efflux and multidrug resistance; Type I polyketide synthase activity; Transfers glycosyl groups to acceptor molecules
WP_405029742.1,"type_1_polyketide_synthase; hypothetical_protein; NDP-hexose_3,4-isomerase; polyketide_synthase_type_I; similar_to_AmphRI_regulatory_protein",Type I polyketide synthesis (modular); Protein of unknown function; Carbohydrate isomerization; Regulation of amphoteronolide biosynthesis
WP_405707408.1,AmbB; polyketide_synthase_type_I; hypothetical_protein; polyketide_synthase; polyketide_synthase,Ambobactin biosynthesis component B; Type I polyketide synthesis (modular); Protein of unknown function; Catalyzes polyketide synthesis
WP_407271027.1,AmbG; monooxygenase_AufJ; PKS_I; Aft9-1; AvnA,Ambobactin biosynthesis component G; Oxygen insertion (AufJ variant); Type I polyketide synthase activity; Antibiotic biosynthesis component 9-1; Polyene antibiotic biosynthesis component A
WP_407340944.1,polyketide_synthase_type_I; protein_methyltransferase; AmbC; putative_transporter; PKS_I,Type I polyketide synthesis (modular); Protein-specific methylation; Ambobactin biosynthesis component C; Molecular transport (predicted); Type I polyketide synthase activity
WP_407866493.1,AmbC; AmbB; polyketide_synthase; transcriptional_regulator; caffeoyl-CoA_o-methyltransferase,Ambobactin biosynthesis component C; Ambobactin biosynthesis component B; Catalyzes polyketide synthesis; Controls gene expression; Methylation in phenylpropanoid pathway
WP_407995214.1,putative_transporter; hypothetical_protein; 3-O-acyltransferase; 3-amino-5-hydroxybenzoate_synthase; type_1_polyketide_synthase,Molecular transport (predicted); Protein of unknown function; Transfer of acyl groups; AHBA biosynthesis for rifamycin; Type I polyketide synthesis (modular)
WP_407995776.1,pathway-specific_SARP_activator; Zn-dependent_alcohol_dehydrogenase; type_1_polyketide_synthase; LuxR-family_transcription_regulator; unknown,Pathway-specific gene activation; Zinc-dependent alcohol oxidation; Type I polyketide synthesis (modular); Quorum sensing and gene regulation; Function not characterized
WP_409562062.1,"transcriptional_regulator,_SARP_family; putative_transmembrane_protein; ATP-binding_ABC_peptide_transporter; PKS_I; cytochrome_P450_monooxygenase","Function associated with transcriptional_regulator,_SARP_family; Function associated with putative_transmembrane_protein; ATP-dependent peptide transport; Type I polyketide synthase activity; Single oxygen insertion reactions"
WP_409853016.1,desaturase; PKSN_polyketide_synthase_for_alternapyrone_biosynthesis; putative_citrinin_biosynthesis_transcriptional_activator_CtnR; VerB; VerB,Introduction of double bonds; Alternapyrone synthesis; Regulation of citrinin biosynthesis; Versicolorin B synthesis enzyme
WP_409979092.1,PKS_I; AngAI; AngAIII; AngAIV; N-methyltransferase,Type I polyketide synthase activity; Angiogenin-related component AI; Angiogenin-related component AIII; Angiogenin-related component AIV; Methylation of nitrogen atoms
WP_411903715.1,polyketide_synthase; polyketide_synthase_AufD; type_1_polyketide_synthase; PKS_I; AmbB,Catalyzes polyketide synthesis; Specific polyketide synthesis (AufD variant); Type I polyketide synthesis (modular); Type I polyketide synthase activity; Ambobactin biosynthesis component B
WP_412968760.1,CypX; CypX; BC_transporter_oligopeptide_binding_protein; cytochrome_P450_monooxygenase; CypX,Cytochrome P450 in aflatoxin biosynthesis; Function associated with BC_transporter_oligopeptide_binding_protein; Single oxygen insertion reactions
WP_414116387.1,PKS_I; polyketide_synthase_type_I; AmbB; type_1_polyketide_synthase; type_1_polyketide_synthase,Type I polyketide synthase activity; Type I polyketide synthesis (modular); Ambobactin biosynthesis component B
WP_414461653.1,"transcriptional_regulator,_SARP_family; putative_transmembrane_protein; ATP-binding_ABC_peptide_transporter; PKS_I; cytochrome_P450_monooxygenase","Function associated with transcriptional_regulator,_SARP_family; Function associated with putative_transmembrane_protein; ATP-dependent peptide transport; Type I polyketide synthase activity; Single oxygen insertion reactions"
WP_414590999.1,BafAIV; AmbC; StcC; AmbQ; NDP-4-keto-6-deoxyhexose_reductase,Bafilomycin biosynthesis component AIV; Ambobactin biosynthesis component C; Sterigmatocystin biosynthesis component C; Ambobactin biosynthesis component Q; Reduction in deoxyhexose biosynthesis
WP_415070495.1,"transcriptional_regulator,_SARP_family; hypothetical_protein; polyketide_synthase_type_I; putative_transporter; ATP-binding_ABC_peptide_transporter","Function associated with transcriptional_regulator,_SARP_family; Protein of unknown function; Type I polyketide synthesis (modular); Molecular transport (predicted); ATP-dependent peptide transport"
XCP53806.1,glycosyltransferase; PKS_I; BafAII; type_1_polyketide_synthase; PKS_I,Transfers glycosyl groups to acceptor molecules; Type I polyketide synthase activity; Bafilomycin biosynthesis component AII; Type I polyketide synthesis (modular)
XHH54078.1,proline_adenylation_protein; hypothetical_protein; BafX; PksA; polyketide_synthase,Activation of proline for peptide synthesis; Protein of unknown function; Bafilomycin biosynthesis component X; Polyketide synthase involved in aflatoxin biosynthesis; Catalyzes polyketide synthesis
XHV06635.1,proline_adenylation_protein; ABC_transporter; BafY; polyketide_synthase; BafX,Activation of proline for peptide synthesis; Transport of molecules across membrane; Bafilomycin biosynthesis component Y; Catalyzes polyketide synthesis; Bafilomycin biosynthesis component X
XJV75695.1,"PKS_I; BafAII; polyketide_synthase; transcriptional_regulator,_SARP_family; polyketide_synthase","Type I polyketide synthase activity; Bafilomycin biosynthesis component AII; Catalyzes polyketide synthesis; Function associated with transcriptional_regulator,_SARP_family"
XKG22298.1,type_1_polyketide_synthase; hypothetical_protein; hypothetical_protein; hypothetical_protein; polyketide_synthase,Type I polyketide synthesis (modular); Protein of unknown function; Catalyzes polyketide synthesis
XMF84248.1,proline_adenylation_protein; PKS_I; glycosyltransferase; oxidoreductase_A;oxidoreductase/cytochrome_P450_monooxygenase; OrdA,Activation of proline for peptide synthesis; Type I polyketide synthase activity; Transfers glycosyl groups to acceptor molecules; Function associated with oxidoreductase_A;oxidoreductase/cytochrome_P450_monooxygenase; Aflatoxin biosynthesis oxidoreductase A
XMG51263.1,proline_adenylation_protein; ABC_transporter; BafY; polyketide_synthase; BafX,Activation of proline for peptide synthesis; Transport of molecules across membrane; Bafilomycin biosynthesis component Y; Catalyzes polyketide synthesis; Bafilomycin biosynthesis component X
XNO08231.1,proline_adenylation_protein; BafX; polyketide_synthase; hypothetical_protein; BafY,Activation of proline for peptide synthesis; Bafilomycin biosynthesis component X; Catalyzes polyketide synthesis; Protein of unknown function; Bafilomycin biosynthesis component Y
XNO08232.1,proline_adenylation_protein; BafX; polyketide_synthase; hypothetical_protein; BafY,Activation of proline for peptide synthesis; Bafilomycin biosynthesis component X; Catalyzes polyketide synthesis; Protein of unknown function; Bafilomycin biosynthesis component Y
XOL52311.1,polyketide_synthase; PksA; PksA; PksA; PksA,Catalyzes polyketide synthesis; Polyketide synthase involved in aflatoxin biosynthesis
pdb_2N6Z_A,AmbB; polyketide_synthase; polyketide_synthase; LuxR_family_transcriptional_regulator; type_1_polyketide_synthase,Ambobactin biosynthesis component B; Catalyzes polyketide synthesis; Quorum sensing and gene regulation; Type I polyketide synthesis (modular)
